Track,Artist,Album,AddedDate
"Cleopatra","The Lumineers ","Cleopatra","2018-03-29T15:35:57Z"
"Share The World","SPZRKT ","Bonfire","2018-03-29T15:35:57Z"
"PILLOWTALK","ZAYN ","PILLOWTALK","2018-03-29T15:35:57Z"
"Black Balloon","The Goo Goo Dolls ","Greatest Hits Volume One - The Singles","2018-03-29T15:35:57Z"
"Let Love In","The Goo Goo Dolls ","Greatest Hits Volume One - The Singles","2018-03-29T15:35:57Z"
"2 Heads","Coleman Hell ","Coleman Hell","2018-03-29T15:35:57Z"
"Higher","Creed ","Greatest Hits","2018-03-29T15:35:57Z"
"Tied","Strangers You Know ","Loosen up the Leash","2018-03-29T15:35:57Z"
"Roses","The Chainsmokers ROZES ","Roses","2018-03-29T15:35:57Z"
"Saved (feat. E-40)","Ty Dolla $ign E-40 ","Free TC","2018-03-29T15:35:57Z"
"LIKE I WOULD","ZAYN ","LIKE I WOULD","2018-03-29T15:35:57Z"
"Verbatim","Blackbear ","Help","2018-03-29T15:35:57Z"
"Don't Stop","Blackbear ","Help","2018-03-29T15:35:57Z"
"I Took A Pill In Ibiza - Seeb Remix","Mike Posner ","The Truth (Remixes)","2018-03-29T15:35:57Z"
"Colors","Halsey ","BADLANDS (Deluxe)","2018-03-29T15:35:57Z"
"A Wonderful Life","Brian Fallon ","Painkillers","2018-03-29T15:35:57Z"
"Nobody Wins","Brian Fallon ","Painkillers","2018-03-29T15:35:57Z"
"Sober","Niykee Heaton ","Bad Intentions","2018-03-29T15:35:57Z"
"Up Up Up","GIVERS ","In Light","2018-03-29T15:35:57Z"
"Way Down We Go","Kaleo ","Way Down We Go","2018-03-29T15:35:57Z"
"90210","Blackbear G-Eazy ","Deadroses","2018-03-29T15:35:57Z"
"Doors","Cardiknox ","Doors","2018-03-29T15:35:57Z"
"Elastic Heart","Longfellow ","Elastic Heart","2018-03-29T15:35:57Z"
"Amadeus","Family and Friends ","XOXO","2018-03-29T15:35:57Z"
"Be As You Are","Mike Posner ","The Truth","2018-03-29T15:35:57Z"
"Strong Enough","Too Far Moon ","Part_001 Lunar Shadows","2018-03-29T15:35:57Z"
"You Could Never Let Me Down","Northcote ","You Could Never Let Me Down","2018-03-29T15:35:57Z"
"Don't Let Me Down","The Chainsmokers Daya ","Don't Let Me Down","2018-03-29T15:35:57Z"
"Bird Set Free","Sia ","This Is Acting","2018-03-29T15:35:57Z"
"Make You Mine","High Valley ","Make You Mine","2018-03-29T15:35:57Z"
"21","Hunter Hayes ","The 21 Project","2018-03-29T15:35:57Z"
"The Sound","The 1975 ","The Sound","2018-03-29T15:35:57Z"
"Gangsta Walk","SNBRN Nate Dogg ","Gangsta Walk","2018-03-29T15:35:57Z"
"I Wanna Get Better","Bleachers Tinashe ","Terrible Thrills, Vol. 2","2018-03-29T15:35:57Z"
"Reaper","Sia ","This Is Acting","2018-03-29T15:35:57Z"
"Cheap Thrills","Sia ","This Is Acting","2018-03-29T15:35:57Z"
"G.O.M.D. - Live","J. Cole ","Forest Hills Drive: Live from Fayetteville, NC","2018-03-29T15:35:57Z"
"Heading Home","Gryffin Josef Salvat ","Heading Home","2018-03-29T15:35:57Z"
"Back To You","Twin Forks ","EP","2018-03-29T15:35:57Z"
"Fast Car","Jonas Blue Dakota ","Fast Car","2018-03-29T15:35:57Z"
"Temple - Hitimpulse Remix","Parson James ","Temple (Hitimpulse Remix)","2018-03-29T15:35:57Z"
"America's Sweetheart","Elle King ","Love Stuff","2018-03-29T15:35:57Z"
"Billie Jean","EDEN ","Billie Jean","2018-03-29T15:35:57Z"
"Unstoppable","Sia ","Unstoppable","2018-03-29T15:35:57Z"
"Reelin","Iration ","Hotting Up","2018-03-29T15:35:57Z"
"Small Talk","Call Security ","To Whom It May Concern,","2018-03-29T15:35:57Z"
"Ares","Winters Island ","Ares","2018-03-29T15:35:57Z"
"Nicknames & Lovers","Jack Moy ","All Alone On A Monday","2018-03-29T15:35:57Z"
"Visions","Cheat Codes ","Visions","2018-03-29T15:35:57Z"
"Hurricane","Halsey ","BADLANDS (Deluxe)","2018-03-29T15:35:57Z"
"Critical Mistakes","888 ","The Decades EP","2018-03-29T15:35:57Z"
"Grapevine Valentine","Kingsfoil ","A Beating Heart Is a Bleeding Heart","2018-03-29T15:35:57Z"
"Reaper","Sia ","Reaper","2018-03-29T15:35:57Z"
"Cold Cold Cold","Cage The Elephant ","Tell Me I'm Pretty","2018-03-29T15:35:57Z"
"Aubrey","Armors ","Collisions","2018-03-29T15:35:57Z"
"Start A Riot","BANNERS ","Start A Riot","2018-03-29T15:35:57Z"
"Goner","Twenty One Pilots ","Blurryface","2018-03-29T15:35:57Z"
"Hymn For The Weekend","Coldplay ","A Head Full Of Dreams","2018-03-29T15:35:57Z"
"Fear","Ben Rector ","Brand New","2018-03-29T15:35:57Z"
"Brand New","Ben Rector ","Brand New","2018-03-29T15:35:57Z"
"Tell Me What You Want from Me","Good Old War ","Broken into Better Shape","2018-03-29T15:35:57Z"
"Give Me A Try","The Wombats ","Glitterbug","2018-03-29T15:35:57Z"
"Under The Lights","Cassio Monroe ","Under The Lights","2018-03-29T15:35:57Z"
"Set On Fire","MAGIC GIANT ","Set On Fire","2018-03-29T15:35:57Z"
"Pride","American Authors ","Pride","2018-03-29T15:35:57Z"
"Shipboard Cook","Third Eye Blind ","Dopamine","2018-03-29T15:35:57Z"
"Brother (feat. Gavin DeGraw)","NEEDTOBREATHE Gavin DeGraw ","Brother","2018-03-29T15:35:57Z"
"Superman","Ivory Layne ","Something's Gonna Happen","2018-03-29T15:35:57Z"
"Wild Things","Alessia Cara ","Know-It-All (Deluxe)","2018-03-29T15:35:57Z"
"Looking Up","SafetySuit ","Looking Up","2018-03-29T15:35:57Z"
"Am I Alive","From Indian Lakes ","Absent Sounds","2018-03-29T15:35:57Z"
"Hypnotized","Fever Fever ","Aftermath","2018-03-29T15:35:57Z"
"The First Single","The Format ","EP","2018-03-29T15:35:57Z"
"Until We Can't (Let's Go)","Passion Pit ","Kindred","2018-03-29T15:35:57Z"
"Shine A Light","BANNERS ","Shine A Light","2018-03-29T15:35:57Z"
"Overdrive","Fightstar ","Overdrive","2018-03-29T15:35:57Z"
"Ten Feet Tall","Afrojack Wrabel ","Forget The World","2018-03-29T15:35:57Z"
"Temple - Lenno Remix","Parson James ","Temple (Lenno Remix)","2018-03-29T15:35:57Z"
"Volcano","The Vamps Silentó ","Wake Up (Deluxe)","2018-03-29T15:35:57Z"
"Saint Cecilia","Foo Fighters ","Saint Cecilia EP","2018-03-29T15:35:57Z"
"Pull Me Up","KYKO ","Pull Me Up","2018-03-29T15:35:57Z"
"LA Devotee","Panic! At The Disco ","LA Devotee","2018-03-29T15:35:57Z"
"Put It Down (feat. Anderson .Paak & Krne)","TOKiMONSTA Anderson .Paak KRANE ","Put It Down (feat. Anderson .Paak & KRNE)","2018-03-29T15:35:57Z"
"Boom (feat. MOTi, Ty Dolla $ign, Wizkid, & Kranium)","Major Lazer MOTi Ty Dolla $ign WizKid Kranium ","Peace Is The Mission (Extended)","2018-03-29T15:35:57Z"
"Back Home","Andy Grammer ","Magazines Or Novels (Deluxe Edition)","2018-03-29T15:35:57Z"
"Chills","Down With Webster ","Party For Your Life","2018-03-29T15:35:57Z"
"Hotel Ceiling","Rixton ","Let The Road","2018-03-29T15:35:57Z"
"Add It Up - Original","This Club ","Highlife","2018-03-29T15:35:57Z"
"South","Hippo Campus ","South - Single","2018-03-29T15:35:57Z"
"push pull","Purity Ring ","another eternity","2018-03-29T15:35:57Z"
"Green Eyes","Elias ","Warcry","2018-03-29T15:35:57Z"
"Made of Dreams","Brandyn Burnette ","Made of Dreams - EP","2018-03-29T15:35:57Z"
"Boulevard Of Broken Dreams - feat. John Gallagher Jr., Rebecca Naomi Jones, Stark Sands, Company [Album Version]","Green Day ","The Original Broadway Cast Recording 'American Idiot' Featuring Green Day","2018-03-29T15:35:57Z"
"Iris","The Goo Goo Dolls ","Greatest Hits Volume One - The Singles","2018-03-29T15:35:57Z"
"All My Friends","Snakehips Tinashe Chance The Rapper ","All My Friends","2018-03-29T15:35:57Z"
"Sunrise","Our Last Night ","Oak Island","2018-03-29T15:35:57Z"
"Cannonball","Skylar Grey X Ambassadors ","Cannonball","2018-03-29T15:35:57Z"
"We Come Running","Youngblood Hawke ","Youngblood Hawke","2018-03-29T15:35:57Z"
"Knock Me Out","Fancy Reagan ","Knock Me Out","2018-03-29T15:35:57Z"
"Not a One","The Young Wild ","Not a One","2018-03-29T15:35:57Z"
"YOUTH","Troye Sivan ","YOUTH","2018-03-29T15:35:57Z"
"Welcome","Fort Minor ","Welcome","2018-03-29T15:35:57Z"
"Red Violins","The Gaslight Anthem ","Get Hurt","2018-03-29T15:35:57Z"
"Trampoline","The Unlikely Candidates ","Follow My Feet EP","2018-03-29T15:35:57Z"
"Lightning Crashes","Live ","Awake The Best Of Live","2018-03-29T15:35:57Z"
"Walking Stick","The Painted Pianos ","Roses","2018-03-29T15:35:57Z"
"Anything","Hedley ","Wild Life","2018-03-29T15:35:57Z"
"Sippy Cup","Melanie Martinez ","Cry Baby (Deluxe)","2018-03-29T15:35:57Z"
"Dollhouse","Melanie Martinez ","Cry Baby (Deluxe)","2018-03-29T15:35:57Z"
"Cry Baby","Melanie Martinez ","Cry Baby (Deluxe)","2018-03-29T15:35:57Z"
"Hopeless Opus","Imagine Dragons ","Smoke + Mirrors (Deluxe)","2018-03-29T15:35:57Z"
"There's a Place","The All-American Rejects ","There's A Place","2018-03-29T15:35:57Z"
"Hello","Adele ","Hello","2018-03-29T15:35:57Z"
"Spotlight","Machine Gun Kelly Lzzy Hale ","General Admission","2018-03-29T15:35:57Z"
"Doin' What She Likes","Blake Shelton ","Reloaded: 20 #1 Hits","2018-03-29T15:35:57Z"
"Force of Nature","Bea Miller ","Not An Apology","2018-03-29T15:35:57Z"
"Waste The Night","5 Seconds of Summer ","Sounds Good Feels Good (Deluxe)","2018-03-29T15:35:57Z"
"Doctor","Truslow ","Hurricane","2018-03-29T15:35:57Z"
"Sunburns","Fences ","Lesser Oceans","2018-03-29T15:35:57Z"
"Magic Mountain","firekid ","firekid","2018-03-29T15:35:57Z"
"Talking Body","Tove Lo ","Queen Of The Clouds (Blueprint Edition)","2018-03-29T15:35:57Z"
"End Credits","EDEN ","End Credits","2018-03-29T15:35:57Z"
"Dream - Jorgen Odegard Remix","Imagine Dragons ","Dream (Jorgen Odegard Remix)","2018-03-29T15:35:57Z"
"Animals","KYKO ","Animals","2018-03-29T15:35:57Z"
"Buttons","The Weeks ","Buttons","2018-03-29T15:35:57Z"
"Suitcase - Live At The Cherrytree House/2013","Matthew Koma ","The Cherrytree Sessions","2018-03-29T15:35:57Z"
"Why Don't You Love Me","New Hollow ","Why Don't You Love Me","2018-03-29T15:35:57Z"
"Stay A Little Longer","Brothers Osborne ","Stay A Little Longer","2018-03-29T15:35:57Z"
"Uh Huh","ROMANS ","Uh Huh","2018-03-29T15:35:57Z"
"Blindside","Hunter Hunted ","Blindside","2018-03-29T15:35:57Z"
"I'm Good","The Mowgli's ","Kids In Love","2018-03-29T15:35:57Z"
"Hallelujah","Panic! At The Disco ","Hallelujah","2018-03-29T15:35:57Z"
"Homesick","Catfish and the Bottlemen ","The Balcony","2018-03-29T15:35:57Z"
"Unconsolable","X Ambassadors ","Love Songs Drug Songs","2018-03-29T15:35:57Z"
"Love Songs Drug Songs","X Ambassadors ","Love Songs Drug Songs","2018-03-29T15:35:57Z"
"Radioactive Swimming Pools","Isosine ","Mashup Manifesto III","2018-03-29T15:35:57Z"
"Passenger","Imad Royal ","Cycles","2018-03-29T15:35:57Z"
"Running Back To You","For The Foxes Allison Weiss ","Running Back To You","2018-03-29T15:35:57Z"
"Do I (Where We Are)","Cherub ","100 Bottles","2018-03-29T15:35:57Z"
"Brother","Matt Corby ","Into The Flame","2018-03-29T15:35:57Z"
"Like I Can","Sam Smith ","In The Lonely Hour","2018-03-29T15:35:57Z"
"Hide and Seek","Imogen Heap ","Speak for Yourself (Deluxe Version)","2018-03-29T15:35:57Z"
"Heads/tails","Hotspur ","You Should Know Better by Now","2018-03-29T15:35:57Z"
"Mistakes Like This","Prelow ","Why Does Everything Happen So Much EP","2018-03-29T15:35:57Z"
"Wait","NF ","Mansion","2018-03-29T15:35:57Z"
"Crave","Parachute ","Crave","2018-03-29T15:35:57Z"
"Style X Blank Space","Glassworks ","Can't Pick One","2018-03-29T15:35:57Z"
"Lay By Me","firekid ","Lay By Me","2018-03-29T15:35:57Z"
"Bad Blood","Ryan Adams ","Bad Blood","2018-03-29T15:35:57Z"
"I Knew You Were Trouble","We Came As Romans ","Punk Goes Pop, Vol. 6","2018-03-29T15:35:57Z"
"Silhouettes","Colony House ","When I Was Younger","2018-03-29T15:35:57Z"
"California Love","SomeKindaWonderful ","SomeKindaWonderful","2018-03-29T15:35:57Z"
"Blank Space","I Prevail ","Blank Space","2018-03-29T15:35:57Z"
"Hollow Tune","Brick + Mortar ","Hollow Tune","2018-03-29T15:35:57Z"
"End of the World","Dirty Heads ","Sound of Change","2018-03-29T15:35:57Z"
"Thanks For Nothing","Brandyn Burnette ","Thanks For Nothing","2018-03-29T15:35:57Z"
"Ignition / Do You... (Mashup)","Phoebe Ryan ","Mine EP","2018-03-29T15:35:57Z"
"Mine","Phoebe Ryan ","Mine EP","2018-03-29T15:35:57Z"
"Cardiac Arrest","Bad Suns ","Language & Perspective","2018-03-29T15:35:57Z"
"High Strung","Shy Technology ","Where We Go from Here","2018-03-29T15:35:57Z"
"Monaco","Audien RUMORS ","Daydreams","2018-03-29T15:35:57Z"
"Bad Chick","SoMo ","My Life II","2018-03-29T15:35:57Z"
"Tonight","Coasts ","Tonight","2018-03-29T15:35:57Z"
"Can't Sleep","Gary Clark Jr. ","The Story of Sonny Boy Slim","2018-03-29T15:35:57Z"
"Follow You","Bring Me The Horizon ","That's The Spirit","2018-03-29T15:35:57Z"
"Lemon Eyes","Meg Myers ","Lemon Eyes","2018-03-29T15:35:57Z"
"Blank Space/Stand By Me - Live From Spotify London","Imagine Dragons ","Imagine Dragons (Spotify Sessions)","2018-03-29T15:35:57Z"
"Oceans","Coasts ","Coasts","2018-03-29T15:35:57Z"
"House On Fire","Ryan Cabrera ","House On Fire","2018-03-29T15:35:57Z"
"Nobody Praying For Me","Seether ","Isolate And Medicate","2018-03-29T15:35:57Z"
"Cigarette Daydreams","Cage The Elephant ","Melophobia","2018-03-29T15:35:57Z"
"Miles Away","The Maine ","American Candy","2018-03-29T15:35:57Z"
"WILD","Troye Sivan ","WILD","2018-03-29T15:35:57Z"
"Goodbye","Who Is Fancy ","Goodbye","2018-03-29T15:35:57Z"
"Molecules","Atlas Genius ","Inanimate Objects","2018-03-29T15:35:57Z"
"The Stone Mill","Atlas Genius ","Inanimate Objects","2018-03-29T15:35:57Z"
"Pretend We're In A Movie","New Politics ","Vikings","2018-03-29T15:35:57Z"
"All The Way","Timeflies ","After Hours","2018-03-29T15:35:57Z"
"Mine","Third Eye Blind ","Mine","2018-03-29T15:35:57Z"
"Worse Things Than Love","Timeflies Natalie La Rose ","Worse Things Than Love","2018-03-29T15:35:57Z"
"15 Dreams","New Politics ","Vikings","2018-03-29T15:35:57Z"
"West End Kids","New Politics ","Vikings","2018-03-29T15:35:57Z"
"Real Life","The Weeknd ","Beauty Behind The Madness","2018-03-29T15:35:57Z"
"I Wanna Get Better","Bleachers ","Strange Desire","2018-03-29T15:35:57Z"
"Luck","American Authors ","Oh, What A Life","2018-03-29T15:35:57Z"
"Hey Now","Matt and Kim ","New Glow","2018-03-29T15:35:57Z"
"Daylight","Matt and Kim ","Grand","2018-03-29T15:35:57Z"
"Often","The Weeknd ","Beauty Behind The Madness","2018-03-29T15:35:57Z"
"Falling Faster","Andrew Ripp ","Andrew Ripp - EP","2018-03-29T15:35:57Z"
"Roots","Imagine Dragons ","Roots","2018-03-29T15:35:57Z"
"Makeba","Jain ","Hope - EP","2018-03-29T15:35:57Z"
"Jet Black Heart","5 Seconds of Summer ","Jet Black Heart","2018-03-29T15:35:57Z"
"Real Life","The Weeknd ","Beauty Behind The Madness","2018-03-29T15:35:57Z"
"Dreaming","Smallpools ","Smallpools","2018-03-29T15:35:57Z"
"Sinner Like You","Parson James ","Sinner Like You","2018-03-29T15:35:57Z"
"I've Been Bored","Superheaven ","Ours Is Chrome","2018-03-29T15:35:57Z"
"Chemical","Jack Garratt ","Chemical","2018-03-29T15:35:57Z"
"Kings","Tribe Society ","Lucid Dreams","2018-03-29T15:35:57Z"
"Habits (Stay High)","Young Rising Sons ","The High EP","2018-03-29T15:35:57Z"
"Ghost","Halsey ","Room 93","2018-03-29T15:35:57Z"
"Cocoon","Catfish and the Bottlemen ","Cocoon","2018-03-29T15:35:57Z"
"Finna Get Loose","Diddy Pharrell Williams ","Finna Get Loose (feat. Pharrell Williams) - Single","2018-03-29T15:35:57Z"
"May I Miss You","Family of the Year ","May I Miss You","2018-03-29T15:35:57Z"
"R.I.P. 2 My Youth","The Neighbourhood ","R.I.P. 2 My Youth","2018-03-29T15:35:57Z"
"JAY Z","Goodbye Tomorrow ","A Journey Through The Mind Of A Non Believer","2018-03-29T15:35:57Z"
"Back and Forth","B.o.B ","Psycadelik Thoughtz","2018-03-29T15:35:57Z"
"Quiet Little Voices","We Were Promised Jetpacks ","These Four Walls","2018-03-29T15:35:57Z"
"11:11","Arkells ","High Noon","2018-03-29T15:35:57Z"
"Hold Me Down","Halsey ","Hold Me Down","2018-03-29T15:35:57Z"
"Nikki","Logic ","Under Pressure (Deluxe)","2018-03-29T15:35:57Z"
"Chasing Twisters","Delta Rae ","After It All","2018-03-29T15:35:57Z"
"Starving for Friends","Slaves ","Through Art We Are All Equals","2018-03-29T15:35:57Z"
"Craving","James Bay ","Chaos And The Calm","2018-03-29T15:35:57Z"
"Panic Switch","Silversun Pickups ","Swoon","2018-03-29T15:35:57Z"
"Drinking About You","Ryan Oakes ","The Ryan Oakes Project","2018-03-29T15:35:57Z"
"Sleeping Sickness","City and Colour ","Bring Me Your Love (Special Edition)","2018-03-29T15:35:57Z"
"Magic Mountain","firekid ","Magic Mountain","2018-03-29T15:35:57Z"
"The Permanent Rain","The Dangerous Summer ","Reach For The Sun","2018-03-29T15:35:57Z"
"Alienation","Morning Parade ","Pure Adulterated Joy","2018-03-29T15:35:57Z"
"Where'd You Go (feat. Holly Brook & Jonah Matranga)","Fort Minor Holly Brook Jonah Matranga ","The Rising Tied (Deluxe Version)","2018-03-29T15:35:57Z"
"21","Hunter Hayes ","21","2018-03-29T15:35:57Z"
"Razor Blade","Luke Bryan ","Kill The Lights","2018-03-29T15:35:57Z"
"Home Alone Tonight","Luke Bryan Karen Fairchild ","Kill The Lights","2018-03-29T15:35:57Z"
"Better Days","Robert DeLong ","Better Days","2018-03-29T15:35:57Z"
"Angel","Theory of a Deadman ","Savages","2018-03-29T15:35:57Z"
"Stayin Out All Night - Boys of Zummer Remix","Wiz Khalifa Fall Out Boy ","Stayin Out All Night (Boys Of Zummer Remix)","2018-03-29T15:35:57Z"
"Bang Bang","Lawrence Taylor ","Bang Bang - Single","2018-03-29T15:35:57Z"
"Coming Over - filous Remix","James Hersey filous ","Coming Over (filous Remix)","2018-03-29T15:35:57Z"
"DNA","Clairity ","Alienation","2018-03-29T15:35:57Z"
"All These Things That I've Done","The Killers ","Hot Fuss","2018-03-29T15:35:57Z"
"Daylight","Young Guns ","Ones And Zeros (Deluxe)","2018-03-29T15:35:57Z"
"Let's Go","The Family Ruin ","Dearly Departed","2018-03-29T15:35:57Z"
"Throne","Bring Me The Horizon ","Throne","2018-03-29T15:35:57Z"
"Paris","Magic Man ","Before the Waves","2018-03-29T15:35:57Z"
"The World I Used to Know","We Came As Romans ","The World I Used to Know","2018-03-29T15:35:57Z"
"Seventeen","Sjowgren ","Seventeen","2018-03-29T15:35:57Z"
"Jordan Belfort (feat. Dyl)","Wes Walker Dyl ","Jordan Belfort (feat. Dyl)","2018-03-29T15:35:57Z"
"Renegades","X Ambassadors ","VHS","2018-03-29T15:35:57Z"
"Diamonds in the Dark","Dark Waves ","Diamonds in the Dark","2018-03-29T15:35:57Z"
"Invisible Prisons","Zeale Justin Furstenfeld ","FRNZ & FNGZ","2018-03-29T15:35:57Z"
"American You","Yelawolf ","Love Story","2018-03-29T15:35:57Z"
"Stranger","Hearts Like Lions ","These Hands - EP","2018-03-29T15:35:57Z"
"Sacred Organs","Ghost Atlas ","Gold Soul Coma","2018-03-29T15:35:57Z"
"Cops Come","Northern Faces ","Cops Come","2018-03-29T15:35:57Z"
"Greatness","THE GRTNS ","Greatness - Single","2018-03-29T15:35:57Z"
"A Little More","Machine Gun Kelly Victoria Monet ","A Little More","2018-03-29T15:35:57Z"
"Cruise","Florida Georgia Line ","Here's To The Good Times","2018-03-29T15:35:57Z"
"Wherever You Go","Sublime With Rome ","Sirens","2018-03-29T15:35:57Z"
"My Way (feat. Monty)","Fetty Wap Monty ","My Way (feat. Monty)","2018-03-29T15:35:57Z"
"Secrets","State Champs ","Secrets","2018-03-29T15:35:57Z"
"Happy Song","Bring Me The Horizon ","Happy Song","2018-03-29T15:35:57Z"
"Febreze (feat. 2 Chainz)","Jack Ü Skrillex Diplo 2 Chainz ","Skrillex and Diplo present Jack Ü","2018-03-29T15:35:57Z"
"You Got Spirit, Kid","Coheed and Cambria ","You Got Spirit, Kid","2018-03-29T15:35:57Z"
"Flex (Ooh, Ooh, Ooh)","Rich Homie Quan ","Flex (Ooh, Ooh, Ooh) - Single","2018-03-29T15:35:57Z"
"Don't Say No (feat. Dresses)","Cheat Codes Dresses ","Don't Say No (feat. Dresses)","2018-03-29T15:35:57Z"
"Nasty Freestyle","T-Wayne ","Nasty Freestyle","2018-03-29T15:35:57Z"
"Peaches","In The Valley Below ","The Belt","2018-03-29T15:35:57Z"
"Things Happen","Dawes ","Things Happen - Single","2018-03-29T15:35:57Z"
"Waves feat. Chris Brown & T.I - Robin Schulz Remix","Mr. Probz Chris Brown T.I. Robin Schulz ","Ultra Dance 16","2018-03-29T15:35:57Z"
"Leather Jacket","Arkells ","High Noon","2018-03-29T15:35:57Z"
"Cocoon","Catfish and the Bottlemen ","The Balcony","2018-03-29T15:35:57Z"
"Devil's Whisper","Raury ","Devil's Whisper","2018-03-29T15:35:57Z"
"Kings","Tribe Society ","Delirium Sonata","2018-03-29T15:35:57Z"
"Unsteady","X Ambassadors ","VHS","2018-03-29T15:35:57Z"
"Ego","Tribe Society ","Lucid Dreams","2018-03-29T15:35:57Z"
"Where Are Ü Now (with Justin Bieber) - Marshmello Remix","Jack Ü Skrillex Diplo Justin Bieber Marshmello ","Where Are Ü Now (with Justin Bieber) [Remixes]","2018-03-29T15:35:57Z"
"The World I Used To Know","We Came As Romans ","The World I Used To Know","2018-03-29T15:35:57Z"
"Could Have Been Me","The Struts ","Everybody Wants","2018-03-29T15:35:57Z"
"Backroads","Lonely The Brave ","The Day's War","2018-03-29T15:35:57Z"
"Footsteps","Pop Evil ","Footsteps","2018-03-29T15:35:57Z"
"Boomerang","Walk Off the Earth ","Sing It All Away","2018-03-29T15:35:57Z"
"So High (feat. Ghost Loft)","Wiz Khalifa Ghost Loft ","Blacc Hollywood (Deluxe)","2018-03-29T15:35:57Z"
"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack) - Boaz van de Beatz remix","David Guetta Afrojack Bebe Rexha Nicki Minaj Boaz van de Beatz remix ","Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack) [Boaz van de Beatz remix]","2018-03-29T15:35:57Z"
"Mess Is Mine","Vance Joy ","Dream Your Life Away","2018-03-29T15:35:57Z"
"How Hard I Try","filous James Hersey ","How Hard I Try","2018-03-29T15:35:57Z"
"Ass Drop","Wiz Khalifa ","Blacc Hollywood (Deluxe)","2018-03-29T15:35:57Z"
"I Mean It","G-Eazy Remo ","These Things Happen","2018-03-29T15:35:57Z"
"Fame Is for Assholes (feat. Chiddy)","Hoodie Allen Chiddy ","Crew Cuts","2018-03-29T15:35:57Z"
"Young, Wild & Free (feat. Bruno Mars)","Snoop Dogg Wiz Khalifa Bruno Mars ","Young, Wild & Free (feat. Bruno Mars)","2018-03-29T15:35:57Z"
"All About It (feat. Ed Sheeran)","Hoodie Allen Ed Sheeran ","People Keep Talking","2018-03-29T15:35:57Z"
"What Your Life Like","Lil Durk ","Remember My Name","2018-03-29T15:35:57Z"
"The Hills","The Weeknd ","The Hills","2018-03-29T15:35:57Z"
"Dangerous (feat. Sam Martin) - Robin Schulz Remix; Radio Edit","David Guetta Sam Martin Robin Schulz ","Listen (Deluxe)","2018-03-29T15:35:57Z"
"What I Did For Love (feat. Emeli Sandé)","David Guetta Emeli Sandé ","Listen (Deluxe)","2018-03-29T15:35:57Z"
"Trap Queen","Fetty Wap ","Trap Queen","2018-03-29T15:35:57Z"
"Bad Girls","MKTO ","Bad Girls","2018-03-29T15:35:57Z"
"Walk Away","History In The Making ","Walk Away","2018-03-29T15:35:57Z"
"Honest","Kodaline ","Coming Up for Air","2018-03-29T15:35:57Z"
"The Otherside","Red Sun Rising ","The Otherside","2018-03-29T15:35:57Z"
"2 Heads","Coleman Hell ","2 Heads","2018-03-29T15:35:57Z"
"Gonna Wanna Tonight","Chase Rice ","Ignite the Night","2018-03-29T15:35:57Z"
"Overload","Life of Dillon ","Overload","2018-03-29T15:35:57Z"
"Run","COIN ","COIN - EP","2018-03-29T15:35:57Z"
"Fall Apart","Casey James ","Fall Apart","2018-03-29T15:35:57Z"
"Unsteady","X Ambassadors ","The Reason EP","2018-03-29T15:35:57Z"
"Third Eye","Florence + The Machine ","How Big, How Blue, How Beautiful (Deluxe)","2018-03-29T15:35:57Z"
"Ho Hey","The Lumineers ","The Lumineers","2018-03-29T15:35:57Z"
"Boomerang","Walk Off the Earth ","Boomerang","2018-03-29T15:35:57Z"
"Children Of The Wild (feat. Mako)","Steve Angello Mako ","Children Of The Wild (feat. Mako)","2018-03-29T15:35:57Z"
"Phenomenal","Eminem ","Phenomenal","2018-03-29T15:35:57Z"
"Am I Wrong","Nico & Vinz ","Black Star Elephant","2018-03-29T15:35:57Z"
"Renegades","X Ambassadors ","Renegades","2018-03-29T15:35:57Z"
"Beautiful Drug","Zac Brown Band ","JEKYLL + HYDE","2018-03-29T15:35:57Z"
"We Won't","Jaymes Young Phoebe Ryan ","We Won't","2018-03-29T15:35:57Z"
"Trust You","Rob Thomas ","Trust You","2018-03-29T15:35:57Z"
"Woke The F*ck Up","Jon Bellion ","Woke The F*ck Up","2018-03-29T15:35:57Z"
"Rock, Pebble, Stone","Emery ","You Were Never Alone","2018-03-29T15:35:57Z"
"The Less You Say","Emery ","You Were Never Alone","2018-03-29T15:35:57Z"
"Smile","The Story So Far ","The Story So Far","2018-03-29T15:35:57Z"
"Doubt","Twenty One Pilots ","Blurryface","2018-03-29T15:35:57Z"
"Broke (feat. Stevie Wonder & Keith Urban)","Jason Derulo Stevie Wonder Keith Urban ","Broke (feat. Stevie Wonder & Keith Urban)","2018-03-29T15:35:57Z"
"Beautiful Now","Zedd Jon Bellion ","True Colors","2018-03-29T15:35:57Z"
"Go Big Or Go Home","American Authors ","Go Big Or Go Home","2018-03-29T15:35:57Z"
"Undiscovered - Praia Remix (From Fifty Shades Of Grey Remixed)","Laura Welsh ","Fifty Shades Of Grey Remixed","2018-03-29T15:35:57Z"
"Polarize","Twenty One Pilots ","Blurryface","2018-03-29T15:35:57Z"
"Tear In My Heart","Twenty One Pilots ","Blurryface","2018-03-29T15:35:57Z"
"The Other Side","Jason Derulo ","Tattoos [Special Edition]","2018-03-29T15:35:57Z"
"Heavydirtysoul","Twenty One Pilots ","Blurryface","2018-03-29T15:35:57Z"
