Track,Artist,Album,AddedDate
"They Don't Know","Jason Aldean ","They Don't Know","2018-03-29T15:35:52Z"
"Wolves","Selena Gomez Marshmello ","Wolves","2018-03-29T15:35:52Z"
"Stargazing","Kygo Justin Jesso ","Stargazing - EP","2018-03-29T15:35:52Z"
"There for You","Martin Garrix Troye Sivan ","There for You","2018-03-29T15:35:52Z"
"Can't Be Touched (feat. Mr. Magic & Trouble)","Roy Jones Jr. Mr Magic Trouble ","Body Head Bangerz, Vol. 1","2018-03-29T15:35:52Z"
"Bodies","Wafia ","Bodies","2018-03-29T15:35:52Z"
"I Know You","Craig David Bastille ","I Know You","2018-03-29T15:35:52Z"
"Someone To You","BANNERS ","Empires On Fire","2018-03-29T15:35:52Z"
"Pursuit Of Happiness (nightmare)","Kid Cudi MGMT Ratatat ","Man On The Moon: The End Of Day","2018-03-29T15:35:52Z"
"anxiety (feat. FRND)","Blackbear FRND ","anxiety (feat. FRND)","2018-03-29T15:35:52Z"
"Shattered [Turn The Car Around]","O.A.R. ","All Sides","2018-03-29T15:35:52Z"
"Close Your Eyes (And Count to Fuck) [feat. Zack De La Rocha]","Run The Jewels Zack De La Rocha ","Run the Jewels 2","2018-03-29T15:35:52Z"
"Without You - Otto Knows Remix","Avicii Sandro Cavazza Otto Knows ","Without You (Remixes)","2018-03-29T15:35:52Z"
"Feel It Still - Gryffin Remix","Portugal. The Man Gryffin ","Feel It Still (Gryffin Remix)","2018-03-29T15:35:52Z"
"Whole Heart","Gryffin Bipolar Sunshine ","Whole Heart","2018-03-29T15:35:52Z"
"Feel Good (feat. Daya)","Gryffin Illenium Daya ","Feel Good (feat. Daya)","2018-03-29T15:35:52Z"
"Someone to You","BANNERS ","Someone to You","2018-03-29T15:35:52Z"
"One Thing","San Holo ","One Thing","2018-03-29T15:35:52Z"
"Machine","MisterWives ","Connect The Dots","2018-03-29T15:35:52Z"
"Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha)","Machine Gun Kelly X Ambassadors Bebe Rexha ","Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha) [From Bright: The Album]","2018-03-29T15:35:52Z"
"Stranger Things","Kygo OneRepublic ","Kids in Love","2018-03-29T15:35:52Z"
"Sunrise","Kygo Jason Walker ","Kids in Love","2018-03-29T15:35:52Z"
"Never Let You Go","Kygo John Newman ","Kids in Love","2018-03-29T15:35:52Z"
"Alright, Kid","Yøuth ","Blame","2018-03-29T15:35:52Z"
"Real Life","Mako Morgan Page ","Hourglass","2018-03-29T15:35:52Z"
"Replaced","American Authors ","What We Live For","2018-03-29T15:35:52Z"
"All My Life","Honors ","All My Life","2018-03-29T15:35:52Z"
"Kings And Queens","The Treble ","Modernaires","2018-03-29T15:35:52Z"
"Perfect Color","SafetySuit ","Perfect Color","2018-03-29T15:35:52Z"
"Gunshot","BLAJK ","Gunshot","2018-03-29T15:35:52Z"
"Darkside (with Ty Dolla $ign & Future feat. Kiiara)","Ty Dolla $ign Future Kiiara ","Darkside (with Ty Dolla $ign & Future feat. Kiiara) [From Bright: The Album]","2018-03-29T15:35:52Z"
"Northern Soul","Above & Beyond Richard Bedford ","Northern Soul","2018-03-29T15:35:52Z"
"Never Land","Eli Young Band ","Fingerprints","2018-03-29T15:35:52Z"
"Talking Body","Don Vedda ","Talking Body","2018-03-29T15:35:52Z"
"Candy Paint","Post Malone ","Candy Paint","2018-03-29T15:35:52Z"
"In My Arms (feat. Jamie N Commons)","Grizfolk Jamie N Commons ","In My Arms (feat. Jamie N Commons)","2018-03-29T15:35:52Z"
"Sober Up","AJR Rivers Cuomo ","The Click","2018-03-29T15:35:52Z"
"I Dare You","The xx ","I See You (Deluxe)","2018-03-29T15:35:52Z"
"California","Silent Pilot ","California","2018-03-29T15:35:52Z"
"santa monica & la brea","Blackbear ","santa monica & la brea","2018-03-29T15:35:52Z"
"Permanent","Kygo JHart ","Kids in Love","2018-03-29T15:35:52Z"
"Rx (Medicate) - Symphonic Acoustic","Theory of a Deadman ","Rx (Medicate) [Symphonic Acoustic]","2018-03-29T15:35:52Z"
"So Tied Up - moreBishop","Cold War Kids Bishop Briggs ","So Tied Up (moreBishop)","2018-03-29T15:35:52Z"
"Million Bucks - Violet Days Remix","Smallpools Violet Days ","Million Bucks (Violet Days Remix)","2018-03-29T15:35:52Z"
"Wake Up Call","Theory of a Deadman ","Wake Up Call","2018-03-29T15:35:52Z"
"Alright Caroline","Third Eye Blind ","Third Eye Blind (20th Anniversary Edition)","2018-03-29T15:35:52Z"
"Hearts On Fire","Gavin James ","Hearts On Fire","2018-03-29T15:35:52Z"
"Never Let You Go","Kygo John Newman ","Never Let You Go","2018-03-29T15:35:52Z"
"Kerosene Dreams","X Ambassadors ","VHS 2.0","2018-03-29T15:35:52Z"
"Take on the World - AlunaGeorge Remix","You Me At Six AlunaGeorge ","Take on the World (AlunaGeorge Remix)","2018-03-29T15:35:52Z"
"I Found God","Mainland ","I Found God","2018-03-29T15:35:52Z"
"River","KARMS ","River","2018-03-29T15:35:53Z"
"Float - Catalin Ivascu Remix","Switchfoot Catalin Ivascu ","Float Remix EP","2018-03-29T15:35:53Z"
"Friends (with BloodPop® & Julia Michaels) - Remix","Justin Bieber BloodPop® Julia Michaels ","Friends (with BloodPop® & Julia Michaels) [Remix]","2018-03-29T15:35:53Z"
"Mercy","Lewis Capaldi ","Bloom - EP","2018-03-29T15:35:53Z"
"You & Me","Marshmello ","You & Me","2018-03-29T15:35:53Z"
